,acc,val_acc,loss,val_loss
0,0.5731250047683716,0.7524999976158142,0.7273867726325989,0.5841358304023743
1,0.6206250190734863,0.6575000286102295,0.6822059154510498,0.6253126263618469
2,0.6499999761581421,0.7699999809265137,0.6494773030281067,0.4999218285083771
3,0.6537500023841858,0.7799999713897705,0.6424863338470459,0.5085314512252808
4,0.6787499785423279,0.75,0.6299745440483093,0.6056107878684998
5,0.7081249952316284,0.7875000238418579,0.6010221242904663,0.48702087998390203
6,0.7056249976158142,0.7649999856948853,0.5930736660957336,0.4979021847248077
7,0.6993749737739563,0.7699999809265137,0.6034711599349976,0.5068869590759277
8,0.7056249976158142,0.8125,0.5891281366348267,0.452133446931839
9,0.7281249761581421,0.7649999856948853,0.5724496841430664,0.4942874014377594
10,0.7425000071525574,0.7900000214576721,0.551321268081665,0.4289153814315796
11,0.7556250095367432,0.8149999976158142,0.5365231037139893,0.40843501687049866
12,0.75,0.7975000143051147,0.530834972858429,0.4172829687595368
13,0.7637500166893005,0.8224999904632568,0.5309576988220215,0.4172254204750061
14,0.7756249904632568,0.8224999904632568,0.5185617804527283,0.4162222146987915
15,0.765625,0.8075000047683716,0.5125564336776733,0.4192031919956207
16,0.7574999928474426,0.8199999928474426,0.5099733471870422,0.4306297302246094
17,0.7749999761581421,0.8399999737739563,0.4873532354831696,0.3973134756088257
18,0.7768750190734863,0.8249999880790709,0.4874196648597717,0.405594140291214
19,0.78125,0.7599999904632568,0.4889721274375916,0.4863358736038208
20,0.7774999737739563,0.7825000286102295,0.4927226305007935,0.4591596722602844
21,0.7856249809265137,0.8075000047683716,0.4956995248794556,0.41706967353820795
22,0.7906249761581421,0.8274999856948853,0.4750036299228668,0.3861882090568543
23,0.7856249809265137,0.8125,0.4874098598957062,0.4059006571769713
24,0.7900000214576721,0.8399999737739563,0.4739390313625336,0.37843966484069824
25,0.7893750071525574,0.8349999785423279,0.4786390662193298,0.3901112079620361
26,0.8087499737739563,0.8450000286102295,0.4580041766166687,0.3878836333751679
27,0.7925000190734863,0.8199999928474426,0.4676872193813324,0.409891277551651
28,0.7950000166893005,0.8324999809265137,0.4618273079395294,0.40082424879074097
